,Year,Team,index,Player,Position,Base_Salary,Signing_Bonus,Roster_Bonus,Option_Bonus,Workout_Bonus,Restruct_Bonus,Misc,Dead_Cap,Cap_Hit,Cap_Pct
16,2011,arizona-cardinals,16,"Keith
Brandon Keith ",RT,"$1,835,000",-,-,-,-,-,-,-,1835000.0,1.56
17,2011,arizona-cardinals,17,"Bridges
Jeremy Bridges ",G,"$1,400,000","$216,666",-,-,"$150,000",-,-,-,1766666.0,1.50
18,2011,arizona-cardinals,18,"Womack
Floyd Womack ",G,"$1,000,000","$700,000",-,-,-,-,-,"($700,000)",1700000.0,1.44
19,2011,arizona-cardinals,19,"Williams
Dan Williams ",DT,"$450,000","$100,000",-,"$1,045,000",-,-,-,-,1595000.0,1.35
20,2011,arizona-cardinals,20,"Wells
Beanie Wells ",RB,"$622,500","$400,000",-,"$562,500",-,-,-,-,1585000.0,1.35
21,2011,arizona-cardinals,21,"Porter
Joey Porter ",LB,"$1,500,000",-,-,-,-,-,-,-,1500000.0,1.27
22,2011,arizona-cardinals,22,"Stuckey
Chansi Stuckey ",WR,"$1,050,000","$350,000",-,-,-,-,-,-,1400000.0,1.19
23,2011,arizona-cardinals,23,"Washington
Daryl Washington ",ILB,"$450,000","$418,750","$505,000",-,-,-,-,-,1373750.0,1.17
24,2011,arizona-cardinals,24,"King
Jeff King ",TE,"$1,000,000","$333,333",-,-,-,-,-,-,1333333.0,1.13
25,2011,arizona-cardinals,25,"Lutui
Taitusi Lutui ",G,"$1,250,000",-,-,-,-,-,-,-,1250000.0,1.06
26,2011,arizona-cardinals,26,"Holliday
Vonnie Holliday ",DT,"$1,000,000",-,"$150,000",-,"$100,000",-,-,-,1250000.0,1.06
27,2011,arizona-cardinals,27,"Doucet
Early Doucet ",WR,"$1,200,000",-,-,-,-,-,-,-,1200000.0,1.02
28,2011,arizona-cardinals,28,"Leach
Mike Leach ",LS,"$975,000",-,-,-,"$25,000",-,-,-,1000000.0,0.85
29,2011,arizona-cardinals,29,"Eason
Nick Eason ",DE,"$810,000","$150,000",-,-,-,-,-,-,960000.0,0.81
30,2011,arizona-cardinals,30,"Campbell
Calais Campbell ",DE,"$600,000","$300,000",-,-,"$30,000",-,-,-,930000.0,0.79
31,2011,arizona-cardinals,31,"Williams
Ryan Williams ",RB,"$375,000","$535,442",-,-,-,-,-,-,910442.0,0.77
32,2011,arizona-cardinals,32,"Adams
Michael Adams ",S,"$685,000","$200,000",-,-,-,-,-,-,885000.0,0.75
33,2011,arizona-cardinals,33,"Johnson
Rashad Johnson ",FS,"$525,000","$163,000",-,-,-,-,-,-,688000.0,0.58
34,2011,arizona-cardinals,34,"Maui'a
Reagan Maui'a ",RB,"$600,000","$50,000",-,-,-,-,-,-,650000.0,0.55
35,2011,arizona-cardinals,35,"Roberts
Andre Roberts ",WR,"$454,000","$181,050",-,-,-,-,-,-,635050.0,0.54
36,2011,arizona-cardinals,36,"Toler
Greg Toler ",CB,"$525,000","$105,333",-,-,-,-,-,-,630333.0,0.54
37,2011,arizona-cardinals,37,"Housler
Robert Housler ",TE,"$375,000","$171,023",-,-,"$25,000",-,-,-,571023.0,0.48
38,2011,arizona-cardinals,38,"Schofield
O'Brien Schofield ",OLB,"$450,000","$107,125",-,-,-,-,-,-,557125.0,0.47
39,2011,arizona-cardinals,39,"Davis
Will Davis ",LB,"$525,000","$21,972",-,-,-,-,-,-,546972.0,0.46
40,2011,arizona-cardinals,40,"Stephens-Howling
LaRod Stephens-Howling ",RB,"$525,000","$12,500",-,-,-,-,-,-,537500.0,0.46
41,2011,arizona-cardinals,41,"Taylor
Chester Taylor ",RB,"$810,000",-,-,-,-,-,-,-,525000.0,0.45
42,2011,arizona-cardinals,42,"Zastudil
Dave Zastudil ",P,"$810,000",-,-,-,-,-,-,-,525000.0,0.45
43,2011,arizona-cardinals,43,"Abdullah
Hamza Abdullah ",CB,"$685,000",-,-,-,-,-,-,-,525000.0,0.45
44,2011,arizona-cardinals,44,"Batiste
D'Anthony Batiste ",G,"$685,000",-,-,-,-,-,-,-,525000.0,0.45
45,2011,arizona-cardinals,45,"Bartel
Richard Bartel ",QB,"$525,000",-,-,-,-,-,-,-,525000.0,0.45
46,2011,arizona-cardinals,46,"Walker
Reggie Walker ",ILB,"$525,000",-,-,-,-,-,-,-,525000.0,0.45
47,2011,arizona-cardinals,47,"Skelton
John Skelton ",QB,"$450,000","$45,412",-,-,-,-,-,-,495412.0,0.42
48,2011,arizona-cardinals,48,"Acho
Sam Acho ",OLB,"$375,000","$118,607",-,-,-,-,-,"($474,428)",493607.0,0.42
49,2011,arizona-cardinals,49,"Dray
Jim Dray ",TE,"$450,000","$12,250",-,-,-,-,-,-,462250.0,0.39
50,2011,arizona-cardinals,50,"Williams
Stephen Williams ",WR,"$450,000","$6,000",-,-,-,-,-,-,456000.0,0.39
51,2011,arizona-cardinals,51,"Hall
Max Hall ",QB,"$452,500","$2,500",-,-,-,-,-,-,455000.0,0.39
52,2011,arizona-cardinals,52,"Butler
Crezdon Butler ",CB,"$450,000",-,-,-,-,-,-,-,450000.0,0.38
53,2011,arizona-cardinals,53,"Green
Marshay Green ",CB,"$450,000",-,-,-,-,-,-,-,450000.0,0.38
54,2011,arizona-cardinals,54,"Sherman
Anthony Sherman ",FB,"$375,000","$51,725",-,-,-,-,-,-,426725.0,0.36
55,2011,arizona-cardinals,55,"Jefferson
A.J. Jefferson ",CB,"$405,000","$5,000",-,-,-,-,-,-,410000.0,0.35
56,2011,arizona-cardinals,56,"Coleman
Antonio Coleman ",DE,"$405,000",-,-,-,-,-,-,-,405000.0,0.34
57,2011,arizona-cardinals,57,"Talley
Ronald Talley ",DE,"$405,000",-,-,-,-,-,-,-,405000.0,0.34
58,2011,arizona-cardinals,58,"Sturdivant
Quan Sturdivant ",ILB,"$375,000","$28,947",-,-,-,-,-,-,403947.0,0.34
59,2011,arizona-cardinals,59,"Carter
David Carter ",DT,"$375,000","$25,966",-,-,-,-,-,"($103,864)",400966.0,0.34
60,2011,arizona-cardinals,60,"Sampson
Demarco Sampson ",WR,"$375,000","$11,475",-,-,-,-,-,-,386475.0,0.33
61,2011,arizona-cardinals,61,"Smith
Alfonso Smith ",RB,"$380,000",-,-,-,-,-,-,-,380000.0,0.32
62,2011,arizona-cardinals,62,"Lindsey
Korey Lindsey ",CB,"$375,000",-,-,-,-,-,-,-,375000.0,0.32
63,2011,arizona-cardinals,64,LumpkinRicky Lumpkin,DT,"$88,400",-,-,-,-,-,-,-,88400.0,0.08
64,2011,arizona-cardinals,66,PorterJoey Porter,LB,"$1,333,333",-,-,-,-,-,-,-,1333333.0,1.13
65,2011,arizona-cardinals,67,AndersonDerek Anderson,QB,"$1,300,000",-,-,-,-,-,-,-,1300000.0,1.10
66,2011,arizona-cardinals,68,Rodgers-CromartieDominique Rodgers-Cromartie,CB,"$1,060,000",-,-,-,-,-,-,-,1060000.0,0.90
67,2011,arizona-cardinals,69,GrahamBen Graham,P,"$850,000",-,-,-,-,-,-,-,850000.0,0.72
68,2011,arizona-cardinals,70,BrownCody Brown,DE,-,"$478,000",-,-,-,-,-,-,478000.0,0.41
69,2011,arizona-cardinals,71,CalvinJorrick Calvin,CB,-,"$66,175",-,-,-,-,-,-,66175.0,0.06
70,2011,arizona-cardinals,72,GatewoodCurtis Gatewood,LB,"$55,294",-,-,-,-,-,-,-,55294.0,0.05
71,2011,arizona-cardinals,73,Maui'aReagan Maui'a,RB,"$50,000",-,-,-,-,-,-,-,50000.0,0.04
72,2011,arizona-cardinals,74,SturdivantQuan Sturdivant,ILB,-,"$28,947",-,-,-,-,-,-,28947.0,0.02
73,2011,arizona-cardinals,75,JeffcoatSean Jeffcoat,WR,"$2,000",-,-,-,-,-,-,-,2000.0,0.00
74,2011,arizona-cardinals,76,LumpkinRicky Lumpkin,DT,-,"$1,000",-,-,-,-,-,-,1000.0,0.00
75,2011,arizona-cardinals,77,RichAndrew Rich,CB,"$1,000",-,-,-,-,-,-,-,1000.0,0.00
76,2011,arizona-cardinals,78,VermiglioJake Vermiglio,G,"$1,000",-,-,-,-,-,-,-,1000.0,0.00
77,2011,arizona-cardinals,79,PowellWilliam Powell,RB,$250,-,-,-,-,-,-,-,250.0,0.00
78,2012,arizona-cardinals,0,"Fitzgerald
Larry Fitzgerald ",WR,"$5,000,000","$5,000,000","$6,000,000","$4,250,000","$250,000",-,-,"($29,250,000)",20500000.0,16.20
79,2012,arizona-cardinals,1,"Kolb
Kevin Kolb ",QB,"$1,000,000","$2,000,000","$7,000,000",-,"$500,000",-,-,-,10500000.0,8.30
80,2012,arizona-cardinals,2,"Dockett
Darnell Dockett ",DE,"$3,400,000",-,-,"$3,000,000","$250,000",-,-,"($12,000,000)",6650000.0,5.25
81,2012,arizona-cardinals,3,"Rhodes
Kerry Rhodes ",S,"$3,500,000",-,"$1,000,000",-,"$500,000",-,-,-,5000000.0,3.95
82,2012,arizona-cardinals,4,"Campbell
Calais Campbell ",DE,"$2,000,000","$3,000,000",-,-,-,-,-,"($17,000,000)",5000000.0,3.95
83,2012,arizona-cardinals,5,"Peterson
Patrick Peterson ",CB,"$1,212,705","$2,975,818",-,-,-,-,-,-,4188523.0,3.31
84,2012,arizona-cardinals,6,"Bradley
Stewart Bradley ",ILB,"$2,500,000","$1,000,000",-,-,"$500,000",-,-,-,4000000.0,3.16
85,2012,arizona-cardinals,7,"Washington
Daryl Washington ",ILB,"$2,500,000","$918,750",-,-,"$100,000",-,-,-,3518750.0,2.78
86,2012,arizona-cardinals,8,"Colledge
Daryn Colledge ",G,"$700,000","$1,500,000",-,-,"$200,000","$775,000",-,-,3175000.0,2.51
87,2012,arizona-cardinals,9,"Wells
Beanie Wells ",RB,"$700,000","$400,000",-,"$562,500","$50,000",-,"$1,305,000",-,3017500.0,2.38
88,2012,arizona-cardinals,10,"Wilson
Adrian Wilson ",S,"$1,500,000","$575,000",-,-,"$250,000","$600,000",-,-,2925000.0,2.31
89,2012,arizona-cardinals,11,"Lenon
Paris Lenon ",ILB,"$2,400,000","$166,667",-,-,"$100,000",-,-,-,2666667.0,2.11
90,2012,arizona-cardinals,12,"Brown
Levi Brown ",LT,"$1,000,000","$1,400,000",-,-,"$250,000",-,-,-,2650000.0,2.09
91,2012,arizona-cardinals,13,"King
Jeff King ",TE,"$1,950,000","$333,334",-,-,"$50,000",-,-,-,2333334.0,1.84
92,2012,arizona-cardinals,14,"Snyder
Adam Snyder ",G,"$900,000","$1,000,000",-,-,"$100,000",-,-,-,2000000.0,1.58
93,2012,arizona-cardinals,15,"Sendlein
Lyle Sendlein ",C,"$700,000","$700,000",-,-,"$150,000","$425,000",-,-,1975000.0,1.56
94,2012,arizona-cardinals,16,"Stephens-Howling
LaRod Stephens-Howling ",RB,"$1,927,000",-,-,-,-,-,-,-,1927000.0,1.52
95,2012,arizona-cardinals,17,"Williams
Dan Williams ",DT,"$645,000","$100,000",-,"$1,045,000","$50,000",-,-,-,1840000.0,1.45
96,2012,arizona-cardinals,18,"Floyd
Michael Floyd ",WR,"$390,000","$1,423,000",-,-,-,-,-,"($9,971,500)",1813000.0,1.43
97,2012,arizona-cardinals,19,"Doucet
Early Doucet ",WR,"$1,450,000","$250,000",-,-,-,-,-,-,1750000.0,1.38
98,2012,arizona-cardinals,20,"Gay
William Gay ",CB,"$975,000","$250,000",-,-,"$125,000",-,-,-,1350000.0,1.07
99,2012,arizona-cardinals,21,"Bridges
Jeremy Bridges ",G,"$925,000","$216,668",-,-,"$150,000",-,-,-,1291668.0,1.02
100,2012,arizona-cardinals,22,"Johnson
Rashad Johnson ",FS,"$1,260,000",-,-,-,-,-,-,-,1260000.0,1.00
101,2012,arizona-cardinals,23,"Toler
Greg Toler ",CB,"$1,260,000",-,-,-,-,-,-,-,1260000.0,1.00
102,2012,arizona-cardinals,24,"Feely
Jay Feely ",K,"$1,000,000","$250,000",-,-,-,-,-,-,1250000.0,0.99
103,2012,arizona-cardinals,25,"Williams
Ryan Williams ",RB,"$556,261","$535,442",-,-,"$50,000",-,-,-,1141703.0,0.90
104,2012,arizona-cardinals,26,"Leach
Mike Leach ",LS,"$1,000,000","$66,666",-,-,"$25,000",-,-,"($200,000)",1091667.0,0.86
105,2012,arizona-cardinals,27,"Heap
Todd Heap ",TE,"$934,375",-,-,-,"$100,000",-,-,-,1034375.0,0.82
106,2012,arizona-cardinals,28,"Adams
Michael Adams ",S,"$825,000","$200,000",-,-,-,-,-,-,1025000.0,0.81
107,2012,arizona-cardinals,29,"Eason
Nick Eason ",DE,"$825,000","$150,000",-,-,"$50,000",-,-,-,1025000.0,0.81
108,2012,arizona-cardinals,30,"Hall
Korey Hall ",RB,"$750,000",-,"$80,000",-,"$100,000",-,-,-,930000.0,0.73
109,2012,arizona-cardinals,31,"Sanders
James Sanders ",S,"$915,000",-,-,-,-,-,-,-,915000.0,0.72
110,2012,arizona-cardinals,32,"Zastudil
Dave Zastudil ",P,"$825,000","$75,000",-,-,-,-,-,-,900000.0,0.71
111,2012,arizona-cardinals,33,"Walker
Reggie Walker ",ILB,"$615,000","$167,500",-,-,"$50,000",-,-,"($335,000)",832500.0,0.66
112,2012,arizona-cardinals,34,"Roberts
Andre Roberts ",WR,"$540,000","$181,050",-,-,-,-,-,-,721050.0,0.57
113,2012,arizona-cardinals,35,"Groves
Quentin Groves ",OLB,"$700,000",-,-,-,-,-,-,-,700000.0,0.55
114,2012,arizona-cardinals,36,"Housler
Robert Housler ",TE,"$485,000","$171,023",-,-,"$25,000",-,-,-,681023.0,0.54
115,2012,arizona-cardinals,37,"Schofield
O'Brien Schofield ",OLB,"$540,000","$107,125",-,-,-,-,-,-,647125.0,0.51
116,2012,arizona-cardinals,38,"Sperry
Kory Sperry ",TE,"$615,000",-,-,-,-,-,-,-,615000.0,0.49
117,2012,arizona-cardinals,39,"Skelton
John Skelton ",QB,"$540,000","$45,412",-,-,-,-,-,-,585412.0,0.46
118,2012,arizona-cardinals,40,"Acho
Sam Acho ",OLB,"$465,000","$118,607",-,-,-,-,-,"($355,821)",583607.0,0.46
119,2012,arizona-cardinals,41,"Dray
Jim Dray ",TE,"$540,000","$12,250",-,-,-,-,-,-,552250.0,0.44
120,2012,arizona-cardinals,42,"Holliday
Vonnie Holliday ",DT,"$925,000",-,-,-,-,-,-,-,540000.0,0.43
121,2012,arizona-cardinals,43,"Batiste
D'Anthony Batiste ",G,"$700,000",-,-,-,-,-,-,-,540000.0,0.43
122,2012,arizona-cardinals,44,"Williams
Stephen Williams ",WR,"$540,000",-,-,-,-,-,-,-,540000.0,0.43
123,2012,arizona-cardinals,45,"Gibson
Mike Gibson ",C,"$615,000",-,-,-,-,-,-,-,538125.0,0.43
124,2012,arizona-cardinals,46,"Sherman
Anthony Sherman ",FB,"$465,000","$51,725",-,-,-,-,-,-,516725.0,0.41
125,2012,arizona-cardinals,47,"Massie
Bobby Massie ",RT,"$390,000","$110,845",-,-,-,-,-,"($443,380)",500845.0,0.40
126,2012,arizona-cardinals,48,"Carter
David Carter ",DT,"$465,000","$25,966",-,-,-,-,-,-,490966.0,0.39
127,2012,arizona-cardinals,49,"Ohrnberger
Rich Ohrnberger ",C,"$540,000",-,-,-,-,-,-,-,472500.0,0.37
128,2012,arizona-cardinals,50,"Green
Marshay Green ",CB,"$465,000",-,-,-,-,-,-,-,465000.0,0.37
129,2012,arizona-cardinals,51,"James
Javarris James ",RB,"$465,000",-,-,-,-,-,-,-,465000.0,0.37
130,2012,arizona-cardinals,52,"Lumpkin
Ricky Lumpkin ",DT,"$465,000",-,-,-,-,-,-,-,465000.0,0.37
131,2012,arizona-cardinals,53,"Smith
Alfonso Smith ",RB,"$465,000",-,-,-,-,-,-,-,465000.0,0.37
132,2012,arizona-cardinals,54,"Kelemete
Senio Kelemete ",G,"$390,000","$47,900",-,-,-,-,-,"($191,600)",437900.0,0.35
133,2012,arizona-cardinals,55,"McQuistan
Pat McQuistan ",RT,"$700,000",-,-,-,-,-,-,-,437500.0,0.35
134,2012,arizona-cardinals,56,"Bethel
Justin Bethel ",CB,"$390,000","$28,556",-,-,-,-,-,"($114,224)",418556.0,0.33
135,2012,arizona-cardinals,57,"Lindley
Ryan Lindley ",QB,"$390,000","$26,327",-,-,-,-,-,"($105,308)",416327.0,0.33
136,2012,arizona-cardinals,58,"Potter
Nate Potter ",LT,"$390,000","$14,856",-,-,-,-,-,"($59,424)",404856.0,0.32
137,2012,arizona-cardinals,59,"Byrd
Laron Byrd ",WR,"$390,000","$2,166",-,-,-,-,-,-,392166.0,0.31
138,2012,arizona-cardinals,60,"Robinson
Gerell Robinson ",WR,"$390,000","$1,166",-,-,-,-,-,-,391166.0,0.31
139,2012,arizona-cardinals,61,"DeChristopher
Blake DeChristopher ",G,"$390,000",-,-,-,-,-,-,-,390000.0,0.31
140,2012,arizona-cardinals,62,"Nash
Zack Nash ",OLB,"$390,000",-,-,-,-,-,-,-,390000.0,0.31
141,2012,arizona-cardinals,63,"Taylor
Kerry Taylor ",WR,"$390,000",-,-,-,-,-,-,-,390000.0,0.31
142,2012,arizona-cardinals,64,"Talley
Ronald Talley ",DE,"$465,000",-,-,-,-,-,-,-,230438.0,0.18
143,2012,arizona-cardinals,65,"Hoyer
Brian Hoyer ",QB,"$615,000",-,-,-,-,-,-,-,153750.0,0.12
144,2012,arizona-cardinals,66,"Fleming
Jamell Fleming ",S,"$45,882",-,-,-,-,-,-,-,45882.0,0.04
145,2012,arizona-cardinals,68,BrownLevi Brown,LT,-,-,-,"$2,392,500",-,-,-,-,2392500.0,1.89
146,2012,arizona-cardinals,69,Rodgers-CromartieDominique Rodgers-Cromartie,CB,"$2,120,000",-,-,-,-,-,-,-,2120000.0,1.68
147,2012,arizona-cardinals,70,PorterJoey Porter,LB,"$1,333,334",-,-,-,-,-,-,-,1333334.0,1.05
148,2012,arizona-cardinals,71,HeapTodd Heap,TE,"$1,125,000",-,-,-,-,-,-,-,1125000.0,0.89
149,2012,arizona-cardinals,72,BridgesJeremy Bridges,G,"$366,667",-,-,-,-,-,-,-,366667.0,0.29
150,2012,arizona-cardinals,73,StuckeyChansi Stuckey,WR,"$350,000",-,-,-,-,-,-,-,350000.0,0.28
151,2012,arizona-cardinals,74,HadnotRex Hadnot,G,"$250,000",-,-,-,-,-,-,-,250000.0,0.20
152,2012,arizona-cardinals,75,Maui'aReagan Maui'a,RB,"$125,000",-,-,-,-,-,-,-,125000.0,0.10
153,2012,arizona-cardinals,76,SturdivantQuan Sturdivant,ILB,-,"$86,841",-,-,-,-,-,-,86841.0,0.07
154,2012,arizona-cardinals,77,HochsteinRuss Hochstein,G,"$65,000",-,-,-,-,-,-,-,65000.0,0.05
155,2012,arizona-cardinals,78,SampsonDemarco Sampson,WR,-,"$11,475",-,-,-,-,-,-,11475.0,0.01
156,2012,arizona-cardinals,79,JeffcoatSean Jeffcoat,WR,"$4,000",-,-,-,-,-,-,-,4000.0,0.00
157,2012,arizona-cardinals,80,LumpkinRicky Lumpkin,DT,-,"$2,000",-,-,-,-,-,-,2000.0,0.00
158,2012,arizona-cardinals,81,RichAndrew Rich,CB,"$2,000",-,-,-,-,-,-,-,2000.0,0.00
159,2012,arizona-cardinals,82,VermiglioJake Vermiglio,G,"$2,000",-,-,-,-,-,-,-,2000.0,0.00
160,2012,arizona-cardinals,83,PowellWilliam Powell,RB,$500,-,-,-,-,-,-,-,500.0,0.00
161,2013,arizona-cardinals,0,"Fitzgerald
Larry Fitzgerald ",WR,"$5,000,000","$2,000,000",-,"$3,000,000","$250,000",-,-,"($20,000,000)",10250000.0,8.54
162,2013,arizona-cardinals,1,"Campbell
Calais Campbell ",DE,"$3,000,000","$3,000,000",-,"$2,500,000","$250,000",-,-,"($25,000,000)",8750000.0,7.29
163,2013,arizona-cardinals,2,"Dockett
Darnell Dockett ",DE,"$4,450,000",-,-,"$3,000,000","$250,000",-,-,"($9,000,000)",7700000.0,6.41
164,2013,arizona-cardinals,3,"Colledge
Daryn Colledge ",G,"$3,800,000","$1,500,000","$1,000,000",-,"$200,000","$775,000",-,"($6,825,000)",7275000.0,6.06
165,2013,arizona-cardinals,4,"Peterson
Patrick Peterson ",CB,"$2,050,409","$2,975,818",-,-,-,-,-,"($10,890,159)",5026227.0,4.19
166,2013,arizona-cardinals,5,"Palmer
Carson Palmer ",QB,"$2,000,000","$2,000,000",-,-,-,-,-,"($10,000,000)",4000000.0,3.33
167,2013,arizona-cardinals,6,"Sendlein
Lyle Sendlein ",C,"$2,400,000","$700,000",-,-,"$150,000","$425,000",-,"($3,375,000)",3675000.0,3.06
168,2013,arizona-cardinals,7,"Washington
Daryl Washington ",ILB,"$1,835,294","$918,750",-,-,"$100,000",-,-,"($2,918,750)",2854044.0,2.38
169,2013,arizona-cardinals,8,"Cooper
Jonathan Cooper ",G,"$405,000","$2,240,273",-,-,-,-,-,"($11,121,092)",2645273.0,2.20
170,2013,arizona-cardinals,9,"Mendenhall
Rashard Mendenhall ",RB,"$2,000,000","$500,000",-,-,-,-,-,"($500,000)",2500000.0,2.08
171,2013,arizona-cardinals,10,"Floyd
Michael Floyd ",WR,"$843,250","$1,423,000",-,-,-,-,-,"($8,158,500)",2266250.0,1.89
172,2013,arizona-cardinals,11,"Dansby
Karlos Dansby ",ILB,"$1,250,000","$1,000,000",-,-,-,-,-,"($1,000,000)",2250000.0,1.87
173,2013,arizona-cardinals,12,"Williams
Dan Williams ",DT,"$910,000","$100,000",-,"$1,045,000","$50,000",-,-,"($3,200,000)",2105000.0,1.75
174,2013,arizona-cardinals,13,"Feely
Jay Feely ",K,"$1,500,000","$250,000","$300,000",-,-,-,-,"($250,000)",2050000.0,1.71
175,2013,arizona-cardinals,14,"Powers
Jerraud Powers ",CB,"$1,000,000","$1,000,000",-,-,-,-,-,"($3,000,000)",2000000.0,1.67
176,2013,arizona-cardinals,15,"Winston
Eric Winston ",RT,"$840,000","$160,000","$250,000",-,-,-,"$750,000","($160,000)",2000000.0,1.67
177,2013,arizona-cardinals,16,"Stanton
Drew Stanton ",QB,"$1,000,000","$666,667",-,-,-,-,-,"($3,000,000)",1666667.0,1.39
178,2013,arizona-cardinals,17,"Abraham
John Abraham ",OLB,"$1,000,000","$500,000","$100,000",-,-,-,-,"($1,000,000)",1600000.0,1.33
179,2013,arizona-cardinals,18,"Zastudil
Dave Zastudil ",P,"$1,475,000","$75,000",-,-,"$25,000",-,-,"($75,000)",1575000.0,1.31
180,2013,arizona-cardinals,19,"Roberts
Andre Roberts ",WR,"$1,323,000","$181,050",-,-,-,-,-,"($181,050)",1504050.0,1.25
181,2013,arizona-cardinals,20,"Cason
Antoine Cason ",CB,"$900,000","$600,000",-,-,-,-,-,"($1,000,000)",1500000.0,1.25
182,2013,arizona-cardinals,21,"Williams
Ryan Williams ",RB,"$780,221","$535,442",-,-,"$50,000",-,-,"($1,120,884)",1365663.0,1.14
183,2013,arizona-cardinals,22,"Brinkley
Jasper Brinkley ",ILB,"$1,050,000","$200,000",-,-,"$50,000",-,-,"($450,000)",1300000.0,1.08
184,2013,arizona-cardinals,23,"Alexander
Lorenzo Alexander ",OLB,"$715,000","$450,000",-,-,-,-,-,"($2,065,000)",1165000.0,0.97
185,2013,arizona-cardinals,24,"Johnson
Rashad Johnson ",FS,"$800,000","$333,333",-,-,-,-,-,"($1,000,000)",1133333.0,0.94
186,2013,arizona-cardinals,25,"Leach
Mike Leach ",LS,"$1,000,000","$66,666",-,-,"$25,000",-,-,"($157,334)",1091666.0,0.91
187,2013,arizona-cardinals,26,"Shaughnessy
Matt Shaughnessy ",DE,"$850,000","$150,000",-,-,-,-,-,"($150,000)",1000000.0,0.83
188,2013,arizona-cardinals,27,"Housler
Robert Housler ",TE,"$620,000","$171,023",-,-,"$25,000",-,-,"($367,046)",816023.0,0.68
189,2013,arizona-cardinals,28,"Minter
Kevin Minter ",ILB,"$405,000","$393,236",-,-,-,-,-,"($2,177,503)",798236.0,0.66
190,2013,arizona-cardinals,29,"Gibson
Mike Gibson ",C,"$715,000",-,-,-,-,-,-,-,715000.0,0.60
191,2013,arizona-cardinals,30,"Sperry
Kory Sperry ",TE,"$715,000",-,-,-,-,-,-,-,715000.0,0.60
192,2013,arizona-cardinals,31,"Fanaika
Paul Fanaika ",G,"$630,000","$50,000",-,-,-,-,-,"($100,000)",680000.0,0.57
193,2013,arizona-cardinals,32,"Acho
Sam Acho ",OLB,"$555,000","$118,607",-,-,-,-,-,"($237,214)",673607.0,0.56
194,2013,arizona-cardinals,33,"Arenas
Javier Arenas ",CB,"$630,000",-,-,-,"$15,000",-,-,"($15,000)",645000.0,0.54
195,2013,arizona-cardinals,34,"Dray
Jim Dray ",TE,"$630,000","$12,250",-,-,-,-,-,"($12,250)",642250.0,0.54
196,2013,arizona-cardinals,35,"Bell
Yeremiah Bell ",S,"$840,000","$65,000",-,-,-,-,-,"($620,000)",635000.0,0.53
197,2013,arizona-cardinals,36,"Rucker
Frostee Rucker ",DT,"$840,000","$65,000",-,-,-,-,-,"($65,000)",620000.0,0.52
198,2013,arizona-cardinals,37,"Massie
Bobby Massie ",RT,"$480,000","$110,845",-,-,-,-,-,"($332,535)",590845.0,0.49
